Band,Band 1,Band 2,Band 3,Band 4,Band 5,Band 7
STD of Relative Normalization,0.0013,0.0018,0.0017,0.0045,0.0066,0.0047
STD of Atmospheric Correction,0.0025,0.003,0.0033,0.0086,0.0083,0.0074
